Energy[keV], HPGe
176, 0.3873045443631087
177, 0.3863298872737786
178, 0.3853559435880489
179, 0.38438280421606996
180, 0.38341055753861103
181, 0.3824392894583953
182, 0.3814690834507336
183, 0.3805000206134511
184, 0.3795321797161012
185, 0.37856563724846287
186, 0.37760046746831843
187, 0.3766367424485113
188, 0.3756745321232783
189, 0.37471390433386037
190, 0.3737549248733901
191, 0.37279765753105676
192, 0.3718421641355497
193, 0.37088850459778583
194, 0.36993673695291895
195, 0.3689869174016395
196, 0.36803910035076304
197, 0.3670933384531178
198, 0.3661496826467304
199, 0.36520818219331874
200, 0.36426888471609675
201, 0.36333183623689547
202, 0.3623970812126073
203, 0.36146466257096216
204, 0.36053462174563766
205, 0.3596069987107148
206, 0.3586818320144849
207, 0.3577591588126127
208, 0.3568390149006671
209, 0.3559214347460247
210, 0.3550064515191556
211, 0.3540940971242969
212, 0.3531844022295258
213, 0.3522773962962368
214, 0.3513731076080338
215, 0.35047156329904366
216, 0.3495727893816617
217, 0.34867681077373475
218, 0.3477836513251932
219, 0.3468933338441372
220, 0.34600588012239003
221, 0.34512131096052145
222, 0.344239646192354
223, 0.34336090470895947
224, 0.3424851044821523
225, 0.34161226258749017
226, 0.3407423952267903
227, 0.3398755177501673
228, 0.33901164467760375
229, 0.3381507897200595
230, 0.3372929658001298
231, 0.3364381850722585
232, 0.3355864589425139
233, 0.334737798087939
234, 0.33389221247547773
235, 0.3330497113804926
236, 0.3322103034048727
237, 0.3313739964947473
238, 0.33054079795780844
239, 0.3297107144802507
240, 0.3288837521433364
241, 0.32805991643959065
242, 0.3272392122886379
243, 0.3264216440526837
244, 0.3256072155516479
245, 0.3247959300779598
246, 0.3239877904110185
247, 0.32318279883132583
248, 0.3223809571343018
249, 0.3215822666437818
250, 0.32078672822521
251, 0.3199943422985296
252, 0.3192051088507777
253, 0.31841902744839284
254, 0.3176360972492367
255, 0.3168563170143396
256, 0.3160796851193757
257, 0.3153061995658693
258, 0.314535857992144
259, 0.3137686576840134
260, 0.31300459558522437
261, 0.3122436683076562
262, 0.3114858721412789
263, 0.3107312030638768
264, 0.3099796567505471
265, 0.3092312285829687
266, 0.3084859136584545
267, 0.30774370679878926
268, 0.30700460255885537
269, 0.30626859523505473
270, 0.3055356788735275
271, 0.30480584727817667
272, 0.3040790940184965
273, 0.30335541243721653
274, 0.30263479565775797
275, 0.30191723659151143
276, 0.30120272794493863
277, 0.3004912622265
278, 0.29978283175341647
279, 0.29907742865826253
280, 0.298375044895402
281, 0.2976756722472635
282, 0.29697930233046227
283, 0.2962859266017717
284, 0.2955955363639473
285, 0.29490812277140616
286, 0.29422367683576617
287, 0.29354218943124627
288, 0.29286365129993436
289, 0.29218805305692047
290, 0.2915153851953049
291, 0.29084563809107616
292, 0.29017880200787094
293, 0.2895148671016103
294, 0.2888538234250194
295, 0.2881956609320334
296, 0.28754036948209044
297, 0.2868879388443147
298, 0.28623835870159337
299, 0.2855916186545481
300, 0.28494770822540466
301, 0.28430661686176306
302, 0.28366833394026836
303, 0.28303284877018886
304, 0.2824001505968982
305, 0.28177022860526885
306, 0.28114307192297505
307, 0.28051866962370975
308, 0.27989701073031553
309, 0.2792780842178354
310, 0.2786618790164785
311, 0.27804838401451015
312, 0.2774375880610628
313, 0.2768294799688727
314, 0.2762240485169418
315, 0.2756212824531276
316, 0.2750211704966644
317, 0.2744237013406142
318, 0.27382886365425013
319, 0.2732366460853767
320, 0.27264703726258405
321, 0.2720600257974405
322, 0.27147560028662376
323, 0.27089374931399424
324, 0.2703144614526071
325, 0.2697377252666708
326, 0.2691635293134479
327, 0.26859186214510383
328, 0.2680227123105005
329, 0.2674560683569405
330, 0.2668919188318599
331, 0.2663302522844714
332, 0.2657710572673615
333, 0.2652143223380386
334, 0.26466003606043687
335, 0.26410818700637495
336, 0.2635587637569715
337, 0.2630117549040178
338, 0.26246714905130913
339, 0.26192493481593604
340, 0.2613851008295355
341, 0.26084763573950415
342, 0.26031252821017353
343, 0.2597797669239484
344, 0.25924934058241095
345, 0.2587212379073869
346, 0.25819544764198155
347, 0.2576719585515786
348, 0.2571507594248097
349, 0.25663183907449105
350, 0.2561151863385283
351, 0.2556007900807932
352, 0.2550886391919701
353, 0.25457872259037295
354, 0.2540710292227356
355, 0.25356554806497444
356, 0.2530622681229246
357, 0.2525611784330498
358, 0.2520622680631272
359, 0.25156552611290833
360, 0.2510709417147549
361, 0.25057850403425175
362, 0.25008820227079676
363, 0.24960002565816922
364, 0.24911396346507556
365, 0.24863000499567467
366, 0.2481481395900818
367, 0.2476683566248532
368, 0.24719064551345138
369, 0.24671499570668995
370, 0.2462413966931612
371, 0.24576983799964475
372, 0.24530030919149948
373, 0.24483279987303727
374, 0.24436729968788048
375, 0.24390379831930328
376, 0.24344228549055585
377, 0.24298275096517605
378, 0.24252518454728184
379, 0.242069576081853
380, 0.24161591545499567
381, 0.24116419259419444
382, 0.2407143974685512
383, 0.24026652008900864
384, 0.23982055050856368
385, 0.2393764788224667
386, 0.23893429516840886
387, 0.2384939897266974
388, 0.23805555272042045
389, 0.2376189744155993
390, 0.23718424512133052
391, 0.23675135518991716
392, 0.2363202950169903
393, 0.23589105504161864
394, 0.23546362574641125
395, 0.2350379976576079
396, 0.23461416134516236
397, 0.23419210742281554
398, 0.2337718265481596
399, 0.23335330942269517
400, 0.23293654679187875
401, 0.23252152944516197
402, 0.23210824821602527
403, 0.23169669398200116
404, 0.23128685766469154
405, 0.2308787302297788
406, 0.23047230268702734
407, 0.23006756609028164
408, 0.22966451153745465
409, 0.22926313017051236
410, 0.22886341317545075
411, 0.2284653517822671
412, 0.22806893726492516
413, 0.22767416094131648
414, 0.22728101417321347
415, 0.22688948836621925
416, 0.2264995749697116
417, 0.22611126547678256
418, 0.22572455142417203
419, 0.22533942439219806
420, 0.22495587600468128
421, 0.22457389792886628
422, 0.224193481875338
423, 0.2238146195979345
424, 0.22343730289365396
425, 0.22306152360256168
426, 0.22268727360768914
427, 0.22231454483493204
428, 0.22194332925294424
429, 0.22157361887302784
430, 0.22120540574902123
431, 0.22083868197718298
432, 0.2204734396960722
433, 0.22010967108642868
434, 0.21974736837104614
435, 0.21938652381464663
436, 0.21902712972375016
437, 0.21866917844654216
438, 0.21831266237273902
439, 0.217957573933451
440, 0.21760390560104273
441, 0.2172516498889917
442, 0.21690079935174533
443, 0.21655134658457487
444, 0.21620328422342794
445, 0.21585660494477998
446, 0.2155113014654828
447, 0.21516736654261187
448, 0.2148247929733124
449, 0.21448357359464332
450, 0.21414370128342053
451, 0.21380516895605745
452, 0.21346796956840608
453, 0.21313209611559517
454, 0.21279754163186781
455, 0.21246429919041826
456, 0.21213236190322693
457, 0.21180172292089522
458, 0.2114723754324785
459, 0.21114431266531863
460, 0.21081752788487562
461, 0.21049201439455867
462, 0.21016776553555575
463, 0.20984477468666307
464, 0.2095230352641141
465, 0.20920254072140737
466, 0.2088832845491332
467, 0.20856526027480193
468, 0.2082484614626699
469, 0.2079328817135647
470, 0.20761851466471157
471, 0.2073053539895585
472, 0.2069933933976008
473, 0.206682626634206
474, 0.20637304748043792
475, 0.20606464975288125
476, 0.20575742730346475
477, 0.2054513740192857
478, 0.20514648382243328
479, 0.20484275066981192
480, 0.2045401685529648
481, 0.20423873149789787
482, 0.20393843356490285
483, 0.20363926884838035
484, 0.20334123147666394
485, 0.20304431561184402
486, 0.2027485154495906
487, 0.2024538252189775
488, 0.20216023918230686
489, 0.20186775163493254
490, 0.2015763569050847
491, 0.20128604935369462
492, 0.2009968233742191
493, 0.20070867339246573
494, 0.20042159386641797
495, 0.20013557928606146
496, 0.19985062417320887
497, 0.19956672308132697
498, 0.19928387059536323
